 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
8,ORB,0.006009,500,117,ORB,0.004186,59,0.000292
9,ORB,0.007932,500,117,ORB,0.004112,66,0.000192

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,ORB,0.008513,500,87,FREAK,0.035690,
1,ORB,0.007147,500,101,FREAK,0.035270,34,0.000135
2,ORB,0.007051,500,105,FREAK,0.033819,32,0.000093
3,ORB,0.006566,500,110,FREAK,0.031759,37,0.000100
4,ORB,0.006395,500,106,FREAK,0.032196,38,0.000093
5,ORB,0.006238,500,121,FREAK,0.032606,32,0.000099
6,ORB,0.006325,500,128,FREAK,0.033576,40,0.000121
7,ORB,0.006398,500,120,FREAK,0.033625,42,0.000274
8,ORB,0.006396,500,117,FREAK,0.032767,38,0.000109
9,ORB,0.009432,500,117,FREAK,0.047817,41,0.000118

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,ORB,0.007592,500,87,AKAZE, 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,ORB,0.010062,500,87,SIFT,0.034217,
1,ORB,0.006635,500,101,SIFT,0.026581,63,0.000351
2,ORB,0.005352,500,105,SIFT,0.029067,78,0.000227
3,ORB,0.006102,500,110,SIFT,0.028014,79,0.000247
4,ORB,0.006903,500,106,SIFT,0.027633,78,0.000510
5,ORB,0.006107,500,121,SIFT,0.031873,79,0.000137
6,ORB,0.005885,500,128,SIFT,0.031627,92,0.000150
7,ORB,0.008089,500,120,SIFT,0.036874,89,0.000261
8,ORB,0.009336,500,117,SIFT,0.041820,90,0.000234
9,ORB,0.008667,500,117,SIFT,0.041149,88,0.000147

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,AKAZE,0.059416,1351,162,BRIEF,0.001105,
1,AKAZE,0.053658,1327,157,BRIEF,0.001466,105,0.000290
2,AKAZE,0.053007,1311,159,BRIEF,0.000986,116,0.000613
3,AKAZE,0.056216,1351,154,BRIEF,0.001243,110,0.001355
4,AKAZE,0.055878,1360,162,BRIEF,0.000626,107,0.000212
5,AKAZE,0.056906,1347,163,BRIEF,0.000806,116,0.000242
6,AKAZE,0.058857,1363,173,BRIEF,0.000697,128,0.000268
7,AKAZE,0.052820,1331,175,BRIEF,0.000646,133,0.000258
8,AKAZE,0.055842,1357,175,BRIEF,0.000652,134,0.000363
9,AKAZE,0.055643,1331,175,BRIEF,0.000729,128,0.000344

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,AKAZE,0.060594,1351,162,ORB,0.003479,
1,AKAZE,0.051648,1327,157,ORB,0.003473,100,0.000288
2,AKAZE,0.049421,1311,159,ORB,0.003134,95,0.000225
3,AKAZE,0.056756,1351,154,ORB,0.003064,96,0.000277
4,AKAZE,0.057338,1360,162,ORB,0.003575,83,0.000393
5,AKAZE,0.059141,1347,163,ORB,0.002833,90,0.000251
6,AKAZE,0.054691,1363,173,ORB,0.003004,117,0.000232
7,AKAZE,0.062425,1331,175,ORB,0.002928,103,0.000428
8,AKAZE,0.056020,1357,175,ORB,0.003694,112,0.000298
9,AKAZE,0.060177,1331,175,ORB,0.003172,117,0.000295

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,AKAZE,0.060995,1351,162,FREAK,0.036777,
1,AKAZE,0.050304,1327,157,FREAK,0.031732,100,0.000375
2,AKAZE,0.055073,1311,159,FREAK,0.038106,104,0.000365
3,AKAZE,0.055129,1351,154,FREAK,0.035895,94,0.000678
4,AKAZE,0.054237,1360,162,FREAK,0.034933,97,0.000378
5,AKAZE,0.052372,1347,163,FREAK,0.035654,97,0.000468
6,AKAZE,0.055828,1363,173,FREAK,0.036376,115,0.000408
7,AKAZE,0.047745,1331,175,FREAK,0.038553,126,0.000484
8,AKAZE,0.052049,1357,175,FREAK,0.037410,116,0.000553
9,AKAZE,0.049918,1331,175,FREAK,0.035719,113,0.000448

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,AKAZE,0.059046,1351,162,AKAZE,0.044173,
1,AKAZE,0.058391,1327,157,AKAZE,0.042668,126,0.000656
2,AKAZE,0.055836,1311,159,AKAZE,0.047025,127,0.000531
3,AKAZE,0.060681,1351,154,AKAZE,0.047167,124,0.000404
4,AKAZE,0.060124,1360,162,AKAZE,0.050340,116,0.000536
5,AKAZE,0.054722,1347,163,AKAZE,0.044310,120,0.000322
6,AKAZE,0.058589,1363,173,AKAZE,0.043535,132,0.000481
7,AKAZE,0.057789,1331,175,AKAZE,0.045918,137,0.000454
8,AKAZE,0.062661,1357,175,AKAZE,0.047027,138,0.000436
9,AKAZE,0.063917,1331,175,AKAZE,0.048416,141,0.000446

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,AKAZE,0.062936,1351,162,SIFT,0.031389,
1,AKAZE,0.063989,1327,157,SIFT,0.031724,132,0.000265
2,AKAZE,0.051909,1311,159,SIFT,0.022680,134,0.000441
3,AKAZE,0.053433,1351,154,SIFT,0.022238,129,0.000328
4,AKAZE,0.054139,1360,162,SIFT,0.023254,136,0.000265
5,AKAZE,0.057852,1347,163,SIFT,0.021717,136,0.000531
6,AKAZE,0.053196,1363,173,SIFT,0.021245,147,0.001103
7,AKAZE,0.046932,1331,175,SIFT,0.022173,147,0.000389
8,AKAZE,0.051020,1357,175,SIFT,0.019647,153,0.000363
9,AKAZE,0.051617,1331,175,SIFT,0.020177,149,0.000285

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,SIFT,0.098124,1438,137,BRIEF,0.000677,
1,SIFT,0.092726,1371,131,BRIEF,0.000930,62,0.000305
2,SIFT,0.086454,1380,121,BRIEF,0.000945,70,0.000346
3,SIFT,0.091496,1335,135,BRIEF,0.001077,61,0.000391
4,SIFT,0.096942,1305,134,BRIEF,0.000959,65,0.000447
5,SIFT,0.095050,1370,139,BRIEF,0.000915,52,0.000145
6,SIFT,0.092098,1396,136,BRIEF,0.000932,58,0.000138
7,SIFT,0.090322,1382,147,BRIEF,0.000966,70,0.000335
8,SIFT,0.088735,1463,156,BRIEF,0.001049,70,0.000307
9,SIFT,0.090778,1422,135,BRIEF,0.000880,84,0.000440

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,SIFT,0.146112,1438,137,ORB, 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,SIFT,0.090961,1438,137,FREAK,0.038370,
1,SIFT,0.114075,1371,131,FREAK,0.042707,58,0.000344
2,SIFT,0.084349,1380,121,FREAK,0.033341,61,0.000374
3,SIFT,0.087493,1335,135,FREAK,0.031969,52,0.000368
4,SIFT,0.092470,1305,134,FREAK,0.037522,63,0.000257
5,SIFT,0.092681,1370,139,FREAK,0.033763,51,0.000262
6,SIFT,0.089835,1396,136,FREAK,0.032835,51,0.000334
7,SIFT,0.086065,1382,147,FREAK,0.031912,48,0.000335
8,SIFT,0.090761,1463,156,FREAK,0.032406,53,0.000366
9,SIFT,0.089349,1422,135,FREAK,0.032547,65,0.000306

 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,SIFT,0.093745,1438,137,AKAZE, 
 image index,detector type,time elapsed for detection,total # of keypoints,# keypoints on vehicle, descriptor type,time elapsed for descriptor,# of matched keypoints,time elapsed for matcher
0,SIFT,0.098198,1438,137,SIFT,0.087647,
1,SIFT,0.076001,1371,131,SIFT,0.071852,81,0.000222
2,SIFT,0.072496,1380,121,SIFT,0.073973,79,0.000135
3,SIFT,0.075332,1335,135,SIFT,0.071073,83,0.000167
4,SIFT,0.073670,1305,134,SIFT,0.070166,92,0.000131
5,SIFT,0.074805,1370,139,SIFT,0.070423,90,0.000132
6,SIFT,0.074406,1396,136,SIFT,0.070366,82,0.000140
7,SIFT,0.073403,1382,147,SIFT,0.070062,82,0.000184
8,SIFT,0.073760,1463,156,SIFT,0.070202,100,0.000147
9,SIFT,0.078099,1422,135,SIFT,0.071626,101,0.000188

